Date,Open,High,Low,Close,Adj_Close,Volume
8/21/2020,151.779999,153.649994,150.589996,152.759995,150.702789,6722800
8/24/2020,152.740005,152.899994,150.350006,152.149994,151.100037,5387900
8/25/2020,152.779999,153.070007,151.539993,152.059998,151.010666,3863500
8/26/2020,151.860001,152.649994,150.639999,152.300003,151.249008,8008300
8/27/2020,152.419998,153.259995,151.889999,152.979996,151.924316,5575400
8/28/2020,152.740005,153.699997,151.899994,153.639999,152.579758,5395700
8/31/2020,153,154.399994,152.259995,153.410004,152.351349,6362700
9/1/2020,153.869995,154.080002,150.070007,151.520004,150.474396,6309200
9/2/2020,150.789993,154.330002,149.25,153.830002,152.768448,6881900
9/3/2020,154.830002,155.470001,148.300003,149.550003,148.51799,8672800
9/4/2020,150.169998,150.949997,147.130005,148.589996,147.564606,7200100
9/8/2020,150.25,150.889999,146.899994,147.259995,146.24379,8756800
9/9/2020,148.149994,151.100006,148.119995,149.699997,148.666946,6960700
9/10/2020,149.25,149.779999,146.520004,146.910004,145.89621,6191800
9/11/2020,147.050003,148.529999,146.630005,147.779999,146.760193,3934700
9/14/2020,148.119995,149.470001,148.009995,148.350006,147.326279,4375800
9/15/2020,149.449997,150.589996,148.520004,148.889999,147.862534,3658800
9/16/2020,149.389999,150.059998,148.350006,148.399994,147.375916,4323000
9/17/2020,148.039993,148.630005,146.050003,147.169998,146.154404,5461400
9/18/2020,146.509995,149.649994,146.199997,149.179993,148.150528,12174000
9/21/2020,147.580002,147.929993,142.960007,145.100006,144.098709,7574500
9/22/2020,144.690002,145.350006,143.720001,144.210007,143.214844,5295900
9/23/2020,147.479996,147.550003,144.380005,144.440002,143.443253,8784400
9/24/2020,144.559998,145.25,143.339996,144.669998,143.671661,5614800
9/25/2020,144,146.25,143.889999,145.660004,144.654831,5531200
9/28/2020,146.729996,148.289993,146.419998,147.110001,146.094833,5843200
9/29/2020,147.600006,147.919998,146.059998,147.059998,146.045166,6768600
9/30/2020,147.449997,149.729996,146.839996,148.880005,147.852615,8487700
10/1/2020,149.309998,149.649994,146.460007,147.320007,146.303391,6457800
10/2/2020,146.210007,148.410004,145.830002,146.240005,145.230835,5485600
10/5/2020,147,148.380005,146.419998,148.229996,147.207092,4992800
10/6/2020,148.279999,148.610001,145.869995,146.259995,145.250687,5118200
10/7/2020,146.490005,148.229996,145.809998,147.880005,146.859512,5603100
10/8/2020,148.5,149.850006,148.039993,148.889999,147.862534,4413500
10/9/2020,149.649994,151.479996,149.449997,150.970001,149.928192,5054100
10/12/2020,151.600006,153.139999,151.020004,151.839996,150.792175,7273200
10/13/2020,149,150.119995,147.770004,148.360001,147.336197,11057600
10/14/2020,148.820007,149.029999,147.389999,148.100006,147.078003,7707000
10/15/2020,147.479996,147.899994,146.330002,147.190002,146.174271,5978600
10/16/2020,147.600006,148.759995,147.009995,148.100006,147.078003,6097000
10/19/2020,148.529999,148.899994,144.130005,144.320007,143.324081,7250800
10/20/2020,144.660004,145.75,144.119995,144.550003,143.55249,5325400
10/21/2020,144.119995,145.339996,143.910004,143.929993,142.936768,5221300
10/22/2020,144.160004,145.690002,143.839996,145.080002,144.078842,5279700
10/23/2020,145.880005,147.470001,144.350006,145.240005,144.237732,4154400
10/26/2020,144.429993,144.770004,142.75,143.970001,142.976501,6929500
10/27/2020,143.740005,144.289993,142.919998,143.149994,142.16214,4890100
10/28/2020,141.429993,141.979996,138.179993,138.360001,137.405212,8426100
10/29/2020,138,138.699997,136.050003,137.190002,136.243286,7205400
10/30/2020,136.679993,137.539993,133.649994,137.110001,136.163834,7364100
11/2/2020,138.979996,139.009995,137.490005,138.690002,137.732925,7088000
11/3/2020,140.020004,140.960007,137.779999,138.5,137.544235,6363000
11/4/2020,139.490005,142.539993,138.699997,139.399994,138.438019,10263500
11/5/2020,140.550003,141.830002,139.259995,139.759995,138.795547,8016200
11/6/2020,140.399994,143.190002,139.649994,142.25,141.268356,5942500
11/9/2020,148.429993,148.990005,144.919998,146.080002,145.07193,12351600
11/10/2020,147.25,148.75,146.259995,148.279999,147.256744,7386500
11/11/2020,149.169998,149.199997,146.860001,147.800003,146.78006,6382400
11/12/2020,147.610001,148.649994,146.75,148.300003,147.276611,4710300
11/13/2020,149.089996,150.410004,148.410004,149.899994,148.86557,5893500
11/16/2020,150.919998,151.300003,149.800003,150.850006,149.809021,6266400
11/17/2020,150,150.630005,149.119995,149.350006,148.319366,7297700
11/18/2020,148.869995,149.759995,147.369995,147.369995,146.353027,6661000
11/19/2020,147.300003,147.460007,145.589996,147.139999,146.124619,7987700
11/20/2020,147.050003,147.940002,146.130005,146.360001,145.350006,6354900
11/23/2020,146.009995,146.009995,143.039993,143.869995,143.869995,7318300
11/24/2020,144,144.759995,143.610001,143.869995,143.869995,11034800
11/25/2020,144.059998,144.169998,142.860001,143.679993,143.679993,7594600
11/27/2020,144.5,144.660004,143.220001,144,144,3059000
11/30/2020,144.229996,144.860001,143.059998,144.679993,144.679993,15663200
12/1/2020,146.289993,149.130005,145.860001,147.449997,147.449997,9741300
12/2/2020,147.850006,149.710007,147.699997,148.139999,148.139999,7745500
12/3/2020,148.039993,149.580002,147.690002,149,149,7310500
12/4/2020,149.789993,150.309998,149.270004,150.270004,150.270004,6747100
12/7/2020,149.350006,149.910004,148.509995,148.970001,148.970001,6634700
12/8/2020,150,152.139999,149.550003,151.550003,151.550003,8339800
12/9/2020,152.830002,153.5,151.759995,153.100006,153.100006,8440100
12/10/2020,152.820007,152.979996,151.679993,152.25,152.25,7392900
12/11/2020,151.529999,153.410004,151.229996,152.949997,152.949997,5977400
12/14/2020,153.25,153.479996,148.990005,149.070007,149.070007,8547300
12/15/2020,150,150.75,149.529999,150.570007,150.570007,7614700
12/16/2020,150.199997,150.919998,149.550003,149.669998,149.669998,8486100
12/17/2020,150.089996,153.889999,149.960007,153.619995,153.619995,9920300
12/18/2020,153.649994,155.100006,151.669998,154.509995,154.509995,17137200
12/21/2020,152.009995,153.410004,150.050003,153.020004,153.020004,7893400
12/22/2020,152.399994,153.899994,151.860001,152.720001,152.720001,4699500
12/23/2020,152.800003,153.600006,151.899994,151.940002,151.940002,4607300
12/24/2020,151.850006,153.039993,151.820007,152.470001,152.470001,2114900
12/28/2020,153.320007,153.869995,152.300003,153.190002,153.190002,3855500
12/29/2020,154.110001,154.929993,153.800003,154.139999,154.139999,5212000
12/30/2020,154.740005,156.380005,154.600006,156.050003,156.050003,5412800
